Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-10-11,San Marino,33951,7895,741,42,682,3,17
2020-10-11,Channel Islands,174315,127554,699,48,623,2,28
2020-10-11,Sint Maarten,43013,4694,707,22,622,6,63
2020-10-11,Turks and Caicos,38864,3671,696,6,672,1,18
2020-10-11,Curaçao,164284,9148,583,1,315,2,267
2020-10-11,Papua New Guinea,8994081,26417,554,7,532,,15
2020-10-11,Taiwan,23829066,96859,527,7,488,,32
2020-10-11,Burundi,11987326,37522,524,1,472,,51
2020-10-11,Tanzania,60199092,,509,21,183,7,305
2020-10-11,Comoros,874724,,495,7,475,,13
2020-10-11,Gibraltar,33688,53446,485,,413,,72
2020-10-11,Faeroe Islands,48916,138822,477,,461,,16
2020-10-11,Saint Martin,38850,5170,466,8,309,11,149
2020-10-11,Eritrea,3560162,,414,,372,,42
2020-10-11,Mauritius,1272370,253248,395,10,358,,27
2020-10-11,Isle of Man,85161,14387,346,24,316,,6
2020-10-11,Mongolia,3293016,77294,316,,310,1,6
2020-10-11,Bhutan,773997,150695,306,,287,,19
2020-10-11,Cambodia,16783742,153204,283,,278,,5
2020-10-11,Monaco,39321,51953,234,2,209,1,23
2020-10-11,Cayman Islands,65939,41166,221,1,211,,9
2020-10-11,Barbados,287475,27773,208,7,186,,15
2020-10-11,Bermuda,62212,71024,184,9,170,,5
2020-10-11,Caribbean Netherlands,26292,2857,148,2,78,,68
2020-10-11,Liechtenstein,38159,900,148,1,124,,23
2020-10-11,Seychelles,98519,5200,148,,144,,4
2020-10-11,Brunei,438660,61809,146,3,143,,0
2020-10-11,Antigua and Barbuda,98158,3035,111,3,97,,11
2020-10-11,British Virgin Islands,30288,5193,71,1,70,,0
2020-10-11,St. Barth,9886,2668,65,,37,,28
2020-10-11,St. Vincent Grenadines,111040,5495,64,,64,,0
2020-10-11,Macao,651814,4238,46,,46,,0
2020-10-11,Fiji,898282,11318,32,2,28,1,2
2020-10-11,Dominica,72037,2612,32,,24,,8
2020-10-11,Saint Lucia,183865,8715,29,,27,,2
2020-10-11,Timor-Leste,1325416,8073,28,,28,,0
2020-10-11,New Caledonia,286271,14585,27,,27,,0
2020-10-11,Grenada,112671,6252,24,,24,,0
2020-10-11,Laos,7305085,56923,23,,22,,1
2020-10-11,Vatican City,802,,12,,12,,0
2020-10-11,Saint Kitts and Nevis,53305,2604,19,,18,,1
2020-10-11,Greenland,56798,8879,16,,14,,2
2020-10-11,Saint Pierre Miquelon,5786,2144,16,,12,,4
2020-10-11,Montserrat,4993,483,13,1,12,,0
2020-10-11,Falkland Islands,3508,2682,13,,13,,0
2020-10-11,Western Sahara,601379,,10,1,8,,1
2020-10-11,Anguilla,15041,1329,3,,3,,0
2020-10-11,Solomon Islands,691518,92,2,,,,2
2020-10-12,USA,331552784,119497624,8037789,220011,5184615,14914,2633163
2020-10-12,India,1383826697,87872093,7173565,109894,6224792,8944,838879
2020-10-12,Brazil,212986866,17900000,5103408,150709,4495269,8318,457430
2020-10-12,Russia,145952340,51191309,1312310,22722,1024235,2300,265353
2020-10-12,Colombia,51035485,4202181,919083,27985,798396,2220,92702
2020-10-12,Spain,46759952,14590713,918223,33124,,1546,
2020-10-12,Argentina,45312730,2239514,903730,24186,732582,4287,146962
2020-10-12,Peru,33100421,4092566,851171,33357,748097,1182,69717
2020-10-12,Mexico,129313982,2088941,817503,83781,594180,2391,139542
2020-10-12,France,65314670,12394558,743479,32779,100828,1448,609872
2020-10-12,South Africa,59518442,4418418,693359,17863,624659,546,50837
2020-10-12,UK,67987176,27831743,617688,42875,,442,
2020-10-12,Iran,84294420,4340831,504281,28816,409121,4533,66344
2020-10-12,Chile,19162518,3729159,482888,13379,454484,785,15025
2020-10-12,Iraq,40471654,2507551,405437,9912,340050,489,55475
2020-10-12,Bangladesh,165151528,2084222,379738,5555,294391,,79792
2020-10-12,Italy,60436357,12650155,359569,36205,240600,452,82764
2020-10-12,Philippines,109989739,4168181,342816,6332,293152,1758,43332
2020-10-12,Saudi Arabia,34965237,7060483,339615,5068,325839,842,8708
2020-10-12,Turkey,84594371,11731350,337147,8895,295658,1417,32594
2020-10-12,Indonesia,274337514,3802093,336716,11935,258519,,66262
2020-10-12,Germany,83860174,18129900,331094,9721,276900,590,44473
2020-10-12,Pakistan,222082317,3884796,319317,6580,304185,491,8552
2020-10-12,Israel,9197590,3992799,294031,2021,238681,822,53329
2020-10-12,Ukraine,43658014,2602635,265454,5015,114410,177,146029
2020-10-12,Canada,37835533,8191592,182839,9627,154258,154,18954
2020-10-12,Netherlands,17145676,2656731,181498,6596,,277,
2020-10-12,Belgium,11603951,3705273,162258,10191,20272,243,131795
2020-10-12,Romania,19200659,2682588,157352,5467,118912,628,32973
2020-10-12,Morocco,37033425,2897811,153761,2636,129498,464,21627
2020-10-12,Ecuador,17717896,467328,147315,12218,128134,360,6963
2020-10-12,Bolivia,11717612,314235,138574,8308,101103,71,29163
2020-10-12,Poland,37834743,3693108,130210,3039,81201,404,45970
2020-10-12,Qatar,2807805,837486,128191,220,125176,55,2795
2020-10-12,Czechia,10714645,1605138,121421,1051,58200,426,62170
2020-10-12,Panama,4333725,548807,120802,2502,96675,121,21625
2020-10-12,Dominican Republic,10878547,522112,118843,2179,94532,157,22132
2020-10-12,Kuwait,4288226,788705,111893,664,103802,139,7427
2020-10-12,Nepal,29282543,1191514,111802,645,77277,,33880
2020-10-12,Kazakhstan,18839771,3045439,108831,1746,104041,221,3044
2020-10-12,UAE,9923949,11016566,107293,446,98555,,8292
2020-10-12,Oman,5142297,376700,106575,1046,93222,213,12307
2020-10-12,Egypt,102870387,135000,104648,6062,97743,41,843
2020-10-12,Sweden,10117104,1789328,98451,5894,,25,
2020-10-12,Guatemala,18007652,363714,97826,3387,87016,5,7423
2020-10-12,Japan,126365294,2306033,89347,1629,82113,146,5605
2020-10-12,Costa Rica,5107237,257549,89223,1108,53247,185,34868
2020-10-12,Portugal,10188174,2852722,87913,2094,53498,128,32321
2020-10-12,China,1439323776,160000000,85578,4634,80714,,230
2020-10-12,Ethiopia,115746603,1356630,85136,1301,38904,230,44931
2020-10-12,Honduras,9948563,198152,84081,2512,32012,24,49557
2020-10-12,Belarus,9448434,2087430,83998,901,77423,,5674
2020-10-12,Venezuela,28412814,1996103,83756,704,75400,186,7652
2020-10-12,Bahrain,1717558,1557638,75948,280,71687,57,3981
2020-10-12,Switzerland,8672522,1506450,64436,2096,49500,40,12840
2020-10-12,Moldova,4031274,315165,62618,1478,44728,819,16412
2020-10-12,Uzbekistan,33604858,1377915,61319,509,58306,252,2504
2020-10-12,Nigeria,207544416,554006,60430,1115,51943,7,7372
2020-10-12,Singapore,5863343,3072368,57880,28,57728,,124
2020-10-12,Armenia,2964822,327163,56821,1026,45891,,9904
2020-10-12,Austria,9020966,1822931,56298,855,44065,97,11378
2020-10-12,Lebanon,6816652,985791,54624,466,23941,185,30217
2020-10-12,Algeria,44071222,,53225,1809,37382,25,14034
2020-10-12,Paraguay,7157126,311326,50344,1096,32751,146,16497
2020-10-12,Kyrgyzstan,6554201,276522,49528,1090,44522,24,3916
2020-10-12,Ghana,31252458,498890,47030,308,46424,12,298
2020-10-12,Palestine,5134106,458400,44684,387,38228,,6069
2020-10-12,Libya,6897460,250914,43821,644,24466,,18711
2020-10-12,Ireland,4953293,1341474,43351,1827,23364,32,18160
2020-10-12,Azerbaijan,10164956,1180271,42104,609,39404,,2091
